order_date,store_id,total_orders,total_revenue,avg_delivery_mins,late_deliveries,total_stockouts,cancelled_orders
2026-02-24,STR007,17,9956.97,12.0,7,2,3
2025-08-17,STR018,18,6163.16,17.22,9,4,0
2026-03-11,STR020,13,7209.18,10.38,2,6,1
2025-09-26,STR022,12,6069.46,19.83,6,1,3
2025-08-31,STR015,13,8390.84,15.62,9,3,2
2025-08-06,STR026,9,4986.1,20.44,5,2,1
2026-03-21,STR021,11,3713.02,18.27,6,3,3
2025-08-29,STR022,13,4921.93,15.15,6,2,1
2026-06-02,STR014,8,5273.8,16.0,4,2,1
2026-01-09,STR013,12,5070.23,19.08,8,0,0
2025-07-26,STR028,11,6182.2,18.45,9,3,2
2025-07-06,STR024,15,8056.52,16.13,10,3,2
2026-01-16,STR027,13,7893.81,17.38,9,2,2
2025-07-11,STR006,20,8693.55,16.3,15,4,2
2025-06-24,STR019,13,4577.3,25.62,11,2,1
2026-04-03,STR028,23,10286.77,17.87,16,6,0
2026-05-13,STR003,14,8381.5,13.07,6,6,2
2025-09-22,STR021,16,12863.9,18.44,11,2,2
2025-07-29,STR016,14,5298.63,15.5,10,3,2
2026-03-20,STR018,19,6760.83,13.05,10,4,1
2025-12-17,STR026,9,4168.06,17.0,5,2,1
2026-02-11,STR003,15,14209.72,14.27,7,1,1
2025-11-26,STR019,16,11570.75,19.44,12,1,5
2025-07-19,STR017,15,6601.62,15.6,7,4,2
2025-11-25,STR029,12,7103.26,16.17,7,2,1
2026-04-19,STR019,16,5993.39,18.38,10,3,2
2025-10-01,STR016,11,4961.37,15.55,6,1,0
2025-08-23,STR028,10,4506.44,16.3,9,2,0
2026-01-28,STR025,9,4516.65,12.33,5,3,0
2025-09-29,STR009,20,11085.92,16.8,15,8,2
2026-01-03,STR006,11,4161.59,14.55,5,3,1
2026-05-29,STR026,15,12853.58,17.47,10,0,1
2026-05-21,STR030,15,5059.45,12.53,4,3,1
2025-10-10,STR014,11,6196.19,18.0,9,3,1
2026-01-20,STR027,12,4238.68,18.17,8,2,2
2025-09-05,STR023,14,8700.36,20.71,9,2,2
2025-09-21,STR019,13,9045.2,16.62,9,4,2
2026-01-01,STR007,12,6273.3,17.67,8,3,0
2025-11-11,STR006,9,6081.6,17.33,5,4,2
2026-02-14,STR025,6,6071.28,18.17,5,1,0
2025-10-06,STR013,16,8283.79,18.0,10,4,2
2026-05-20,STR005,15,4163.4,16.67,8,2,0
2025-08-18,STR001,11,3117.77,17.45,8,1,0
2025-12-13,STR010,11,5260.48,18.27,6,2,2
2025-08-22,STR022,15,8648.73,16.53,10,4,5
2026-03-02,STR019,15,7478.97,12.47,10,4,1
2025-09-14,STR008,13,5228.04,15.08,7,3,1
2026-03-23,STR019,11,7482.93,11.64,4,2,1
2025-12-07,STR023,20,10463.21,18.2,11,5,1
2026-03-30,STR021,15,12226.21,13.47,8,5,2
2026-02-07,STR010,18,8415.98,17.89,10,2,2
2026-03-23,STR011,12,13665.94,16.92,6,3,1
2026-04-05,STR009,17,8982.8,17.12,11,4,3
2026-04-04,STR001,13,10244.26,16.92,9,2,1
2026-01-31,STR005,16,9754.61,18.13,10,6,3
2025-06-19,STR024,16,9268.11,13.0,9,4,3
2025-12-01,STR017,12,7633.75,15.33,5,1,1
2025-12-25,STR008,12,8874.0,14.0,7,2,1
2026-03-28,STR019,16,7194.63,14.94,8,2,1
2025-08-31,STR030,18,8423.39,17.78,12,5,2
2026-04-16,STR013,16,4713.85,16.0,9,4,1
2026-01-26,STR004,18,9775.13,13.89,8,5,3
2026-02-11,STR018,9,4624.64,13.33,4,2,0
2025-08-14,STR022,17,6088.98,15.0,10,3,2
2026-02-07,STR028,18,10853.06,15.61,8,5,2
2025-08-06,STR015,18,7849.54,12.78,7,3,4
2025-11-21,STR028,14,5201.49,16.0,7,2,0
2025-09-16,STR014,14,10427.98,12.5,4,1,4
2026-04-12,STR026,19,9269.69,15.53,13,1,0
2026-01-26,STR013,10,6132.88,13.2,4,2,4
2026-01-25,STR004,14,7705.11,14.86,6,1,0
2025-07-10,STR029,17,9436.69,15.0,8,2,2
2026-02-02,STR011,14,5495.15,19.21,7,4,1
2025-07-11,STR019,16,9012.99,18.25,16,3,0
2026-02-01,STR003,9,5683.93,17.0,5,3,0
2025-06-10,STR009,16,9677.52,15.81,9,3,1
2025-08-03,STR011,12,5213.81,15.17,7,4,1
2025-07-27,STR004,13,5220.87,13.54,6,5,3
2025-07-14,STR010,15,10729.47,18.87,9,6,2
2026-02-03,STR014,11,3864.68,16.73,7,0,1
2025-11-20,STR027,11,6117.62,13.18,6,3,0
2025-09-15,STR003,20,7353.33,13.95,11,5,1
2025-11-07,STR014,15,5217.35,11.33,6,5,2
2026-01-17,STR019,11,3186.16,18.55,9,1,2
2025-08-12,STR026,11,3805.45,12.36,5,2,0
2025-07-31,STR003,14,5279.37,15.93,9,2,0
2026-01-05,STR003,18,7891.16,16.28,10,3,0
2025-06-25,STR014,13,4195.73,15.38,10,2,1
2025-11-16,STR016,14,5564.13,13.5,11,0,3
2026-04-02,STR019,12,6897.74,13.42,5,4,1
2025-12-08,STR020,15,9199.29,19.07,12,3,3
2026-05-19,STR014,15,5766.33,17.2,13,3,2
2025-12-11,STR030,17,13237.65,17.76,12,2,0
2025-11-27,STR030,10,3013.28,16.6,8,1,2
2026-01-22,STR002,15,8654.61,11.87,6,3,2
2026-05-01,STR014,12,8310.28,12.08,5,3,1
2025-10-23,STR015,17,5423.2,19.53,12,2,1
2025-07-17,STR012,10,4333.85,14.6,5,2,3
2026-03-05,STR025,16,10227.66,16.75,10,3,2
2025-06-20,STR027,10,5160.47,20.4,9,1,3
2025-09-05,STR017,19,8393.49,18.37,14,0,2
2025-09-26,STR014,10,3274.96,12.8,6,1,0
2026-04-08,STR025,11,8548.06,17.27,7,2,3
2025-06-10,STR003,13,5301.13,16.54,8,1,1
2026-03-13,STR014,11,6847.43,16.0,7,0,2
2025-11-15,STR008,11,4660.1,14.73,8,2,1
2025-09-21,STR012,16,9943.47,16.56,8,2,4
2025-11-02,STR019,13,6151.74,18.69,9,3,0
2026-01-04,STR025,13,9955.57,14.38,7,1,0
2025-07-07,STR014,14,6685.29,19.29,11,5,1
2026-05-05,STR011,13,6598.4,16.92,5,4,2
2025-09-04,STR029,12,5144.39,16.67,7,5,0
2025-06-06,STR004,14,5885.39,15.57,9,4,1
2026-04-28,STR015,15,8943.02,13.47,9,6,2
2025-09-25,STR017,16,6257.57,19.94,11,2,0
2026-01-25,STR027,8,3684.21,13.63,5,2,2
2025-11-30,STR019,8,3927.23,32.25,8,2,1
2025-10-23,STR023,12,5619.41,14.17,4,2,0
2025-12-16,STR026,14,9824.36,15.64,7,7,3
2025-11-07,STR024,20,7221.29,15.55,11,3,2
2025-10-10,STR015,9,4920.33,14.67,7,3,0
2025-07-20,STR002,16,9161.77,14.63,12,2,1
2026-02-10,STR022,15,8204.11,14.53,12,2,0
2025-11-01,STR030,10,5290.34,12.9,7,2,0
2026-04-17,STR024,13,8349.13,19.31,11,4,0
2026-05-19,STR009,10,4672.14,17.1,7,1,1
2025-09-07,STR025,13,4482.72,14.85,7,3,1
2026-05-21,STR013,16,7381.02,17.31,13,4,2
2025-08-26,STR019,13,5078.49,18.62,7,2,1
2025-11-05,STR025,13,4485.82,13.85,8,5,2
2025-12-19,STR021,13,6951.84,26.62,11,3,0
2025-09-09,STR022,15,6994.84,14.47,10,2,4
2026-04-22,STR019,9,3411.04,19.78,6,3,1
2026-05-30,STR017,19,12462.54,17.89,14,5,2
2026-03-17,STR011,17,11596.87,17.47,13,3,0
2026-01-21,STR024,10,3552.05,16.6,6,1,0
2026-04-06,STR026,17,7524.14,11.35,7,4,4
2025-12-03,STR011,25,16768.17,11.88,8,7,4
2026-05-24,STR024,10,6940.48,26.3,9,1,0
2026-04-18,STR003,10,5809.06,17.8,6,0,0
2025-12-07,STR028,11,6882.64,14.82,6,3,1
2026-04-17,STR018,19,9661.75,15.89,10,5,3
2025-07-16,STR018,24,12128.5,17.42,16,1,2
2026-01-21,STR027,15,11306.71,16.27,8,2,0
2026-03-20,STR005,21,8032.19,17.48,15,5,2
2026-05-26,STR011,11,6591.58,16.91,9,3,1
2025-09-08,STR011,13,6462.03,14.92,10,5,0
2025-07-16,STR026,16,7044.98,14.0,9,3,0
2025-09-14,STR025,13,11240.41,17.31,7,3,1
2025-09-26,STR002,11,6504.27,13.09,7,1,1
2026-02-23,STR008,7,7228.18,14.71,5,0,1
2026-01-23,STR009,11,4178.82,15.73,7,2,0
2026-04-18,STR002,15,11686.16,15.2,10,4,2
2025-07-25,STR002,14,5358.95,13.21,9,4,1
2025-11-11,STR025,11,4365.88,18.0,7,2,1
2025-12-05,STR009,21,10545.43,17.43,14,5,2
2026-02-08,STR002,12,3033.12,15.33,7,1,1
2025-09-13,STR024,17,7625.5,16.35,11,5,3
2025-08-08,STR010,16,8765.85,13.38,8,2,2
2026-05-30,STR002,12,9551.53,17.42,9,3,3
2026-02-04,STR012,10,3847.5,14.4,3,3,2
2025-06-11,STR010,13,8803.74,11.46,4,1,0
2025-12-07,STR008,8,1640.86,15.25,4,3,1
2026-03-14,STR011,13,8368.03,17.23,8,4,2
2025-09-28,STR011,14,11424.87,15.93,9,4,0
2025-10-04,STR025,9,3876.7,18.67,7,0,1
2025-08-06,STR016,19,9706.82,15.74,11,0,2
2025-06-29,STR021,13,7083.37,14.92,6,3,1
2025-09-15,STR008,14,9404.02,17.36,10,1,0
2025-11-17,STR005,22,8450.35,18.95,12,3,1
2025-10-31,STR002,22,7559.21,15.23,12,2,4
2026-04-24,STR023,11,3933.54,15.36,8,1,1
2025-12-22,STR008,17,5647.79,18.47,10,2,2
2026-02-03,STR022,19,14220.27,14.42,12,3,0
2026-04-10,STR006,10,2687.61,14.8,6,6,0
2026-01-13,STR011,11,2802.19,12.45,7,2,0
2026-04-14,STR012,11,7870.18,19.45,7,2,1
2026-05-10,STR008,16,6075.57,17.25,10,5,1
2025-10-01,STR023,13,5193.41,14.77,6,1,3
2025-09-18,STR002,14,7835.05,19.07,11,2,1
2025-10-07,STR002,10,5609.22,20.4,8,2,2
2026-02-26,STR009,15,9309.46,17.47,9,2,1
2025-12-01,STR009,13,8031.89,19.46,8,2,1
2025-09-10,STR001,14,8988.61,14.86,6,3,2
2025-07-15,STR001,10,4564.93,20.7,8,1,2
2026-05-13,STR022,17,13814.14,16.88,11,1,1
2026-04-15,STR009,10,4014.1,15.1,6,3,1
2026-01-29,STR028,20,9507.06,13.95,10,5,2
2025-12-20,STR030,13,4644.29,19.31,11,3,1
2025-07-09,STR020,17,6663.29,14.0,7,3,2
2025-08-18,STR012,24,8965.58,20.88,18,8,4
2025-10-18,STR027,17,14178.51,15.47,9,5,5
2025-07-22,STR020,13,5529.93,14.62,8,3,3
2025-06-30,STR025,13,4277.63,18.62,8,3,2
2026-06-01,STR022,15,5967.83,18.87,10,7,3
2026-05-08,STR003,15,11257.6,18.4,9,3,3
2025-08-21,STR005,11,8148.56,11.55,5,1,2
2025-07-05,STR005,17,10358.47,15.12,11,3,0
2026-04-28,STR022,11,4942.55,17.0,7,4,0
2025-10-20,STR002,9,5582.65,12.11,4,3,2
2026-03-13,STR009,16,9065.65,16.94,7,6,2
2026-02-15,STR002,13,7447.85,17.85,7,4,1
2025-10-07,STR015,12,4883.78,11.42,7,3,2
2025-12-21,STR002,13,4188.34,22.23,8,1,0
2025-06-22,STR019,14,7838.87,16.07,9,3,2
2026-01-20,STR002,9,4720.26,16.78,5,1,1
2026-02-23,STR021,8,970.63,20.38,6,1,1
2025-09-24,STR028,21,10334.94,17.71,13,2,3
2025-11-22,STR019,12,4014.87,17.5,8,2,1
2026-05-26,STR028,16,9782.37,13.69,10,1,2
2025-10-14,STR025,16,11050.95,13.63,9,4,2
2026-03-09,STR018,12,2883.76,11.42,6,4,3
2025-12-18,STR014,13,9022.9,12.38,6,3,1
2025-10-19,STR016,11,3118.52,15.09,8,1,0
2025-07-28,STR020,12,6084.57,17.0,10,2,0
2025-11-26,STR028,12,3541.57,12.0,6,3,2
2026-03-23,STR004,11,3433.7,13.27,4,2,2
2025-08-14,STR011,15,7755.19,17.33,9,3,2
2026-05-28,STR002,16,7109.59,19.0,12,0,3
2026-03-26,STR027,10,3936.07,17.6,6,2,1
2025-12-22,STR027,5,2902.11,15.4,2,1,0
2026-01-16,STR028,14,4408.13,14.21,8,2,1
2025-06-24,STR002,11,4340.95,17.45,8,4,1
2025-10-04,STR006,17,10974.57,11.65,8,5,0
2025-06-18,STR022,15,12129.97,14.93,8,4,1
2025-07-09,STR025,10,6242.16,16.6,7,4,1
2026-03-19,STR027,22,11149.61,17.91,16,4,1
2026-05-22,STR030,13,6012.69,16.85,10,4,1
2025-09-03,STR020,18,7582.03,18.78,13,0,5
2026-02-12,STR027,17,6334.45,15.71,13,4,1
2026-04-04,STR007,12,3860.15,18.5,10,3,1
2025-09-03,STR009,13,6277.4,14.08,7,3,0
2026-05-27,STR002,15,6269.58,14.87,6,5,2
2025-08-06,STR018,11,5712.26,17.55,8,2,5
2025-06-08,STR024,9,3716.89,15.11,5,3,1
2025-09-09,STR010,15,4559.61,14.53,8,4,2
2025-10-09,STR013,10,5154.3,12.4,4,1,0
2026-01-04,STR016,18,13587.28,16.67,11,2,0
2025-06-12,STR018,19,10362.58,15.95,12,6,2
2025-11-08,STR009,12,8824.31,15.75,6,4,1
2025-11-15,STR013,13,4755.48,16.38,8,3,1
2026-06-03,STR019,19,10275.08,14.58,11,2,1
2026-05-15,STR013,13,7167.55,13.23,4,1,1
2025-07-27,STR006,13,4649.99,17.54,9,3,2
2025-11-21,STR029,15,12658.81,12.87,10,3,1
2026-01-24,STR011,10,2899.23,16.3,6,2,2
2026-04-13,STR017,21,10369.97,18.05,12,5,1
2025-12-17,STR009,19,7924.81,12.95,10,2,2
2025-07-13,STR011,15,9663.54,15.67,10,4,3
2026-05-30,STR018,12,4775.31,20.17,9,3,0
2026-02-10,STR017,13,4456.43,18.54,8,4,0
2025-07-12,STR019,10,6445.48,18.0,6,1,0
2025-10-28,STR007,16,8731.18,22.88,13,5,1
2026-04-10,STR012,8,2308.67,16.75,5,3,1
2025-10-02,STR028,19,8149.1,18.21,12,5,1
2025-07-02,STR021,8,4033.69,13.63,5,3,0
2026-05-10,STR015,14,13132.72,17.64,11,2,0
2025-08-01,STR013,15,8726.85,14.67,9,3,2
2025-11-30,STR027,13,5725.17,16.54,9,5,0
2026-05-02,STR014,10,3754.84,20.6,8,4,4
2025-06-27,STR027,14,7698.19,14.5,6,3,1
2025-06-20,STR022,20,9357.11,14.25,11,3,4
2025-11-28,STR011,12,7185.52,21.5,10,2,0
2026-05-18,STR021,12,8752.2,14.25,6,3,2
2026-02-04,STR015,8,6472.37,19.88,7,1,0
2026-04-25,STR028,17,10837.68,13.88,7,5,2
2025-11-01,STR002,12,7234.64,13.83,7,0,1
2026-04-19,STR025,18,7609.61,16.17,8,4,1
2026-05-12,STR013,10,7880.1,22.2,9,4,3
2025-08-27,STR009,12,9464.65,13.67,8,2,1
2025-09-26,STR018,14,9028.56,18.36,10,3,2
2025-06-30,STR018,11,9609.7,13.64,7,1,0
2025-12-24,STR024,9,4741.84,16.0,5,2,1
2026-01-29,STR004,14,6598.43,15.0,6,7,0
2025-08-03,STR013,14,4259.36,15.14,9,5,1
2026-04-03,STR022,14,5482.44,18.79,10,1,2
2025-11-01,STR011,16,10091.18,18.38,12,4,0
2025-09-06,STR028,16,8477.86,14.88,6,3,1
2025-06-14,STR002,9,5943.11,15.0,5,1,0
2026-04-08,STR027,14,6916.87,19.79,10,4,2
2025-08-23,STR014,15,9701.95,17.73,9,1,0
2026-02-14,STR011,21,12903.26,19.19,17,3,1
2025-06-18,STR028,12,9571.54,16.75,6,3,0
2026-02-07,STR022,22,7195.41,14.55,13,6,1
2026-05-07,STR020,10,5262.94,19.7,8,1,1
2026-02-19,STR018,12,9395.77,18.58,11,3,1
2026-02-28,STR028,11,4891.61,17.18,7,2,0
2025-10-20,STR010,10,4222.23,15.9,9,4,1
2025-12-10,STR028,14,10580.94,18.36,11,3,1
2026-04-01,STR018,9,1724.2,16.0,5,2,2
2025-12-01,STR018,13,5901.98,17.15,9,2,0
2025-06-04,STR009,20,11262.04,19.65,12,3,2
2025-11-19,STR019,14,4764.22,19.21,10,2,0
2026-05-17,STR001,13,6280.7,15.46,8,1,0
2026-05-20,STR014,11,2373.96,15.36,6,1,1
2026-01-27,STR023,6,2303.66,19.67,4,3,1
2026-01-08,STR025,16,5557.17,13.13,6,5,1
2026-05-02,STR005,12,9040.43,17.33,8,1,2
2026-01-04,STR001,15,8130.75,16.13,8,5,1
2025-11-29,STR021,12,4691.82,16.67,7,1,2
2025-10-05,STR020,11,11485.59,21.09,7,3,0
2025-10-02,STR014,14,10968.26,15.07,8,1,1
2026-01-26,STR007,12,4252.9,16.42,7,2,2
2025-12-24,STR002,20,15548.75,16.45,11,6,2
2025-07-27,STR027,14,4802.54,25.64,12,4,2
2026-01-28,STR023,17,7111.35,19.29,14,4,2
2025-06-27,STR012,7,2993.35,15.0,6,1,0
2025-11-15,STR023,10,3372.6,16.1,6,3,0
2025-08-28,STR030,13,8835.69,20.15,12,2,1
2026-04-23,STR016,15,7045.59,16.8,12,3,3
2025-06-15,STR014,10,5616.02,15.9,5,3,2
2026-04-01,STR008,19,10453.89,16.58,13,6,2
2025-11-12,STR005,15,12306.53,15.47,8,1,1
2025-12-20,STR024,11,4464.65,14.45,3,2,1
2025-10-25,STR020,12,7137.98,13.67,6,4,1
2025-08-22,STR011,9,5143.56,15.67,6,3,1
2026-02-08,STR026,20,10577.61,17.75,14,4,3
2026-05-06,STR009,14,7007.68,13.79,8,1,0
2025-06-19,STR020,25,21498.8,17.44,15,6,5
2026-04-15,STR029,20,8425.63,17.2,12,3,1
2025-11-27,STR013,9,2714.31,15.67,7,2,1
2025-10-13,STR010,13,8925.25,14.69,9,2,0
2025-06-03,STR029,13,4958.8,12.62,5,1,2
2025-06-14,STR013,4,2187.9,14.75,3,1,0
2025-12-13,STR022,15,4835.58,17.33,8,0,2
2026-05-07,STR004,12,4622.98,15.75,7,1,1
2025-08-29,STR013,17,10763.61,15.12,9,3,0
2026-04-18,STR017,15,7571.02,14.07,7,6,2
2026-03-07,STR011,16,5576.59,13.75,9,4,0
2026-02-26,STR004,14,7239.84,10.5,5,4,1
2026-04-05,STR002,16,7482.82,16.63,10,5,2
2025-11-13,STR018,12,6681.94,17.33,9,2,2
2026-02-21,STR018,14,7138.02,15.86,9,5,1
2025-10-12,STR030,12,5316.23,14.33,8,1,1
2025-10-01,STR020,9,4007.09,14.67,6,3,1
2026-05-18,STR025,13,6065.74,13.69,8,2,1
2025-11-20,STR007,7,3535.55,16.29,4,1,0
2026-03-12,STR021,15,7612.67,14.2,7,1,1
2025-08-24,STR014,14,6883.87,22.0,9,1,2
2025-06-14,STR028,16,8894.98,13.38,8,3,1
2025-08-01,STR001,15,8078.97,16.6,10,2,3
2026-05-05,STR019,7,2133.23,21.29,5,3,1
2025-10-09,STR011,15,6002.83,17.13,10,4,1
2026-05-09,STR030,18,5501.21,16.22,13,5,2
2026-01-29,STR010,7,1825.35,15.86,6,1,0
2025-07-15,STR028,17,7085.31,12.88,7,5,4
2025-07-30,STR024,14,7216.47,17.5,7,2,0
2026-03-05,STR004,12,6825.45,19.75,7,2,0
2026-02-19,STR026,11,8025.34,13.36,6,0,1
2026-05-12,STR011,12,4731.84,15.75,6,0,0
2025-12-13,STR028,9,3435.12,15.11,5,2,0
2025-11-23,STR019,14,6731.52,11.64,6,3,0
2026-01-13,STR018,14,9279.98,13.29,5,2,1
2026-05-04,STR011,12,7149.77,16.58,7,2,1
2025-11-20,STR019,13,9681.6,25.31,10,4,0
2026-04-20,STR023,17,8054.74,16.59,11,6,4
2026-01-15,STR014,10,3438.17,13.2,7,3,0
2026-04-16,STR019,15,9277.08,19.27,11,3,3
2025-12-28,STR024,9,3174.13,18.78,5,1,0
2025-06-28,STR018,13,6590.99,14.69,4,1,2
2025-10-04,STR012,9,4321.21,18.44,5,5,0
2025-10-03,STR025,21,13128.21,15.19,13,3,3
2025-09-12,STR008,17,9258.94,20.06,14,4,1
2025-10-03,STR001,15,8148.26,17.6,9,0,2
2026-04-13,STR029,15,6602.74,19.73,12,5,2
2026-04-19,STR020,14,7592.33,14.71,5,4,1
2025-11-01,STR006,18,7065.11,15.78,12,2,3
2025-06-22,STR020,17,7025.04,15.76,10,4,2
2025-09-24,STR025,19,9362.04,24.37,17,7,2
2025-06-13,STR019,9,3211.23,14.67,6,1,1
2025-11-22,STR010,13,6592.99,13.54,7,0,2
2026-03-03,STR021,10,2906.95,16.9,7,1,1
2026-05-19,STR006,14,5414.94,14.14,8,5,1
2025-12-26,STR014,13,6813.86,14.46,6,1,0
2026-03-06,STR013,19,12082.91,14.16,12,4,2
2026-03-19,STR018,7,4358.19,14.71,4,3,0
2026-01-11,STR004,15,6719.4,13.0,7,3,0
2025-12-29,STR029,5,2543.2,17.8,2,2,0
2025-06-06,STR030,10,7522.91,14.1,5,2,1
2025-08-26,STR011,23,14972.97,16.26,17,9,5
2025-10-05,STR010,20,9092.25,13.55,14,4,1
2025-07-04,STR008,12,5093.41,14.58,7,3,0
2025-06-18,STR023,13,6889.03,12.0,8,3,3
2025-11-12,STR017,16,9944.82,12.94,10,1,3
2025-09-24,STR020,13,3528.08,15.46,11,3,0
2026-04-16,STR028,14,6285.49,17.14,9,2,1
2026-01-27,STR029,18,8947.15,16.0,14,4,1
2026-02-22,STR014,13,7319.19,18.62,9,4,0
2026-02-19,STR011,13,9995.22,11.69,4,2,2
2025-06-27,STR003,10,6596.96,20.9,7,0,1
2025-06-20,STR019,10,3936.49,18.2,8,4,1
2025-11-06,STR001,10,2550.2,15.3,6,2,1
2026-04-02,STR030,16,10312.66,18.06,12,2,3
2025-09-11,STR026,18,7897.89,12.22,9,8,1
2025-11-05,STR014,14,6815.52,14.93,10,4,1
2026-03-13,STR011,12,5321.47,18.08,10,1,2
2025-10-14,STR022,15,6293.7,17.4,9,5,0
2026-03-22,STR002,13,5103.68,14.15,7,5,1
2026-05-06,STR028,11,7488.43,14.82,4,2,0
2025-09-29,STR012,19,8943.06,18.42,13,4,2
2026-04-11,STR023,19,7825.72,15.05,11,6,1
2026-03-07,STR015,15,8474.22,16.53,8,4,1
2026-04-06,STR019,22,12251.56,19.41,14,5,3
2025-11-17,STR002,18,7081.8,21.17,15,7,1
2025-10-24,STR030,14,5129.75,15.71,9,1,1
2026-03-04,STR019,9,4253.76,15.89,4,1,2
2026-06-01,STR010,20,11965.81,16.55,11,2,4
2025-09-28,STR027,19,7533.57,18.11,15,5,3
2025-07-17,STR004,10,3587.65,20.6,7,2,2
2025-06-29,STR015,13,7888.23,11.85,5,2,2
2026-05-27,STR001,14,5309.05,18.64,8,5,2
2025-11-19,STR012,13,5715.46,15.77,7,3,0
2026-01-08,STR013,11,4088.82,19.91,9,2,2
2026-04-30,STR026,18,10605.19,17.72,9,7,1
2026-03-23,STR008,13,4424.48,14.77,8,3,0
2026-03-03,STR028,13,4519.41,15.46,6,0,1
2025-09-25,STR024,16,6355.27,15.25,10,2,1
2026-01-20,STR015,14,7043.25,13.36,7,5,2
2026-03-10,STR013,16,8600.23,13.06,8,1,0
2025-07-03,STR014,15,7027.88,13.33,8,2,1
2025-12-12,STR028,13,4747.36,16.38,9,2,2
2025-07-04,STR022,10,4985.28,15.3,8,2,1
2026-02-22,STR008,18,9108.07,17.33,13,5,1
2026-05-10,STR019,9,3557.1,14.44,4,2,0
2026-03-09,STR012,12,5810.22,15.58,7,2,0
2025-09-08,STR007,19,8582.96,13.95,13,1,1
2026-01-11,STR015,15,9465.49,15.93,10,2,1
2025-08-23,STR007,11,5604.77,14.91,8,2,2
2025-08-16,STR019,13,9370.35,16.77,9,1,0
2025-07-04,STR016,11,5370.14,15.55,8,3,0
2026-03-30,STR025,14,6191.56,14.29,8,3,2
2025-07-14,STR024,14,5673.38,18.0,11,3,3
2025-09-21,STR024,18,10561.26,14.61,8,4,1
2025-11-16,STR018,11,4227.25,19.82,9,2,1
2026-03-17,STR013,15,6834.4,18.0,10,2,1
2026-05-08,STR022,14,9880.75,13.86,8,3,1
2026-01-01,STR010,12,6734.9,20.0,8,1,0
2025-10-23,STR018,11,10039.36,15.09,6,4,1
2026-04-24,STR019,17,8659.13,17.29,11,7,3
2025-12-29,STR001,11,5528.25,16.73,9,5,3
2026-02-10,STR024,13,8844.65,15.08,6,4,2
2025-08-17,STR007,14,3661.04,15.36,7,2,2
2026-01-18,STR017,9,3129.59,15.11,5,2,0
2025-09-10,STR014,16,11196.45,20.63,12,2,2
2026-02-20,STR004,17,10848.83,16.76,12,2,1
2026-03-06,STR028,12,6043.54,18.25,8,1,1
2025-12-18,STR001,11,4191.66,13.55,8,3,0
2025-06-22,STR009,10,5910.19,18.4,6,4,0
2026-03-11,STR009,19,8735.57,16.47,11,3,2
2026-01-18,STR019,20,10015.85,17.55,12,4,0
2025-09-08,STR012,10,5797.22,15.7,6,3,2
2025-07-16,STR024,9,4260.47,13.78,5,2,2
2025-11-26,STR026,9,3585.98,20.33,6,2,1
2025-06-28,STR025,10,6666.17,20.2,8,0,0
2026-05-30,STR009,10,6064.32,17.6,7,5,1
2025-09-14,STR024,8,1650.58,12.0,5,2,2
