rider_id,total_deliveries,avg_delivery_mins,late_deliveries,late_delivery_pct,total_revenue_handled
RDR282,285,16.44,172,60.35,141929.03
RDR225,269,16.32,165,61.34,133479.63
RDR459,277,16.12,161,58.12,130163.14
RDR234,296,17.77,205,69.26,136709.9
RDR236,273,16.37,164,60.07,138394.51
RDR296,285,16.01,169,59.3,152130.15
RDR478,247,16.43,144,58.3,121457.98
RDR181,284,17.08,186,65.49,151206.46
RDR154,306,16.99,200,65.36,153101.06
RDR483,293,16.63,174,59.39,173631.87
RDR216,299,17.31,193,64.55,146769.2
RDR089,278,16.6,172,61.87,134550.25
RDR172,313,16.5,190,60.7,167418.66
RDR454,280,16.64,181,64.64,139464.59
RDR279,277,16.45,169,61.01,141895.49
RDR106,280,16.6,170,60.71,128954.69
RDR374,283,16.46,184,65.02,151738.12
RDR349,258,16.45,148,57.36,142598.46
RDR328,271,15.95,168,61.99,150888.02
RDR026,269,16.7,180,66.91,139079.93
RDR167,281,17.13,182,64.77,145314.45
RDR202,282,17.32,180,63.83,154218.53
RDR369,253,16.06,152,60.08,119620.45
RDR276,288,17.11,187,64.93,147554.99
RDR123,271,16.05,164,60.52,134929.45
RDR024,302,16.68,196,64.9,160645.7
RDR465,248,16.41,155,62.5,135866.31
RDR344,275,16.95,173,62.91,129167.38
RDR215,268,15.99,168,62.69,136915.7
RDR393,245,16.32,156,63.67,137821.43
RDR176,243,16.63,155,63.79,135487.71
RDR052,274,16.16,173,63.14,150887.45
RDR408,291,15.88,170,58.42,153525.03
RDR396,292,16.54,180,61.64,143564.85
RDR021,264,16.75,163,61.74,124113.68
RDR128,284,16.42,183,64.44,144467.82
RDR046,277,16.11,163,58.84,140293.62
RDR245,268,16.57,163,60.82,128180.8
RDR370,317,16.36,195,61.51,159732.43
RDR061,295,17.21,190,64.41,151449.18
RDR192,272,16.59,166,61.03,162529.46
RDR479,272,15.48,152,55.88,138574.53
RDR062,291,16.73,183,62.89,155717.87
RDR318,269,16.2,178,66.17,154467.87
RDR185,286,17.2,192,67.13,146884.95
RDR324,277,16.34,164,59.21,130946.22
RDR377,289,16.4,187,64.71,169299.2
RDR441,264,16.63,151,57.2,147220.93
RDR141,285,16.35,175,61.4,142260.4
RDR121,269,16.0,151,56.13,138491.98
RDR356,272,17.68,164,60.29,132510.86
RDR486,272,16.11,166,61.03,149308.61
RDR149,282,15.71,163,57.8,144755.58
RDR346,261,16.49,156,59.77,138164.08
RDR187,309,16.61,200,64.72,148954.05
RDR127,247,15.98,157,63.56,110597.18
RDR229,267,16.24,160,59.93,139284.58
RDR410,268,17.16,175,65.3,142467.37
RDR036,293,16.79,177,60.41,154593.99
RDR102,286,16.15,163,56.99,140380.56
RDR284,319,16.85,203,63.64,173920.53
RDR197,290,15.47,168,57.93,157443.73
RDR159,302,17.14,194,64.24,166233.38
RDR170,284,16.18,181,63.73,155923.97
RDR383,290,16.3,175,60.34,139404.32
RDR037,265,17.83,177,66.79,129277.88
RDR158,295,16.65,175,59.32,142993.87
RDR354,279,16.36,177,63.44,134566.11
RDR460,257,16.26,166,64.59,141842.62
RDR203,294,16.93,185,62.93,145824.26
RDR434,304,16.42,195,64.14,162511.27
RDR267,277,16.68,175,63.18,147899.49
RDR321,288,16.54,178,61.81,160707.44
RDR153,266,15.06,147,55.26,142632.47
RDR014,267,15.92,173,64.79,144804.28
RDR443,268,17.13,175,65.3,138145.97
RDR047,291,17.36,198,68.04,144656.74
RDR163,260,16.82,164,63.08,129228.26
RDR409,247,17.31,154,62.35,137294.78
RDR413,287,17.13,167,58.19,154928.57
RDR148,274,15.96,164,59.85,133535.04
RDR395,296,16.71,179,60.47,150444.58
RDR056,295,16.01,180,61.02,153570.5
RDR331,279,17.36,175,62.72,141011.38
RDR327,287,15.87,180,62.72,162506.63
RDR146,275,17.17,185,67.27,134081.62
RDR073,297,15.93,169,56.9,145078.03
RDR110,276,16.36,177,64.13,151618.91
RDR204,252,17.07,165,65.48,116257.05
RDR177,290,17.36,181,62.41,155545.59
RDR205,290,16.5,175,60.34,155139.61
RDR385,274,17.89,180,65.69,128454.92
RDR398,287,16.3,167,58.19,140378.28
RDR082,279,16.72,175,62.72,146017.27
RDR444,287,16.71,188,65.51,143900.42
RDR054,287,15.77,172,59.93,142482.6
RDR009,287,16.14,178,62.02,142525.76
RDR045,284,14.51,154,54.23,144025.57
RDR487,275,16.38,171,62.18,140367.05
RDR075,298,16.13,176,59.06,174037.07
RDR117,287,15.97,188,65.51,155456.81
RDR130,286,16.28,182,63.64,159731.34
RDR482,286,16.07,164,57.34,145824.03
RDR301,270,16.14,159,58.89,138971.04
RDR399,298,16.78,186,62.42,145847.66
RDR271,287,16.65,179,62.37,148347.56
RDR012,311,16.7,198,63.67,169579.55
RDR156,289,15.98,181,62.63,150613.77
RDR097,274,15.59,156,56.93,132710.59
RDR226,276,17.48,167,60.51,137611.09
RDR368,258,16.63,165,63.95,136291.82
RDR435,289,16.1,172,59.52,165359.31
RDR332,271,17.92,183,67.53,141823.03
RDR165,295,16.21,191,64.75,147208.48
RDR463,262,16.29,153,58.4,126803.8
RDR260,289,15.89,182,62.98,146346.15
RDR188,268,17.56,174,64.93,141723.13
RDR430,296,15.92,182,61.49,153879.1
RDR189,284,15.29,162,57.04,136786.38
RDR053,286,16.42,173,60.49,152985.18
RDR217,266,17.21,169,63.53,150209.45
RDR069,297,15.98,180,60.61,163881.75
RDR411,285,17.11,177,62.11,146354.92
RDR317,281,16.51,166,59.07,154945.18
RDR019,308,15.16,172,55.84,164809.83
RDR323,281,16.53,175,62.28,144991.91
RDR076,306,16.82,181,59.15,168652.99
RDR365,278,18.15,185,66.55,152955.92
RDR223,283,16.16,167,59.01,143170.96
RDR200,240,17.4,150,62.5,131721.97
RDR111,308,15.34,177,57.47,166997.17
RDR442,280,16.81,178,63.57,137208.76
RDR289,302,18.17,204,67.55,154939.65
RDR437,274,15.93,162,59.12,149016.95
RDR476,262,15.62,149,56.87,134203.97
RDR424,261,16.09,164,62.84,130920.34
RDR033,266,16.97,180,67.67,123332.07
RDR064,296,16.66,191,64.53,154120.94
RDR449,279,14.96,162,58.06,130478.42
RDR462,261,15.41,158,60.54,136945.02
RDR403,292,16.21,167,57.19,153291.8
RDR355,277,16.54,160,57.76,133040.03
RDR473,295,16.36,180,61.02,164746.53
RDR079,265,16.2,156,58.87,138155.01
RDR425,278,17.0,180,64.75,151037.27
RDR412,280,15.67,162,57.86,150480.45
RDR405,303,17.21,186,61.39,160193.1
RDR180,305,16.13,197,64.59,155301.67
RDR074,276,16.28,177,64.13,128939.7
RDR293,259,16.71,153,59.07,148332.33
RDR237,285,17.1,192,67.37,143487.62
RDR438,289,16.08,178,61.59,144220.27
RDR268,288,16.75,187,64.93,151642.09
RDR017,286,16.74,168,58.74,139361.5
RDR160,282,17.02,181,64.18,150618.57
RDR334,270,16.76,174,64.44,147884.83
RDR292,261,16.47,164,62.84,137117.01
RDR032,266,16.57,163,61.28,145282.31
RDR144,297,16.71,187,62.96,153010.41
RDR136,266,17.75,169,63.53,130471.88
RDR455,271,15.9,160,59.04,128276.87
RDR196,284,15.68,185,65.14,136162.85
RDR423,298,17.13,197,66.11,147119.33
RDR029,282,17.04,179,63.48,144868.77
RDR122,296,17.52,182,61.49,158346.93
RDR133,262,17.97,179,68.32,138105.34
RDR400,269,16.55,163,60.59,152487.46
RDR474,263,17.1,164,62.36,150473.67
RDR433,251,18.37,155,61.75,122161.12
RDR485,300,16.64,178,59.33,151372.41
RDR035,276,16.54,170,61.59,153117.53
RDR233,280,17.23,185,66.07,138361.38
RDR428,275,16.59,169,61.45,134220.39
RDR382,272,16.63,161,59.19,124510.87
RDR195,277,17.35,185,66.79,136446.09
RDR467,277,15.32,152,54.87,127132.36
RDR447,256,17.59,170,66.41,143676.84
RDR113,275,15.86,166,60.36,136260.45
RDR342,269,16.93,173,64.31,142981.05
RDR373,285,17.22,189,66.32,132490.81
RDR228,304,16.57,193,63.49,141248.13
RDR445,310,16.85,200,64.52,152918.91
RDR359,292,16.43,178,60.96,160451.41
RDR309,313,16.25,195,62.3,172367.44
RDR448,290,16.93,181,62.41,140514.77
RDR492,275,17.02,183,66.55,138200.72
RDR421,315,16.13,189,60.0,168282.76
RDR272,240,17.36,154,64.17,130248.3
RDR456,301,15.53,171,56.81,132546.09
RDR161,265,15.78,160,60.38,126528.07
RDR388,256,16.2,157,61.33,142512.2
RDR059,295,16.25,198,67.12,146581.13
RDR288,272,17.13,175,64.34,137195.76
RDR440,272,15.92,164,60.29,155699.34
RDR008,288,16.87,190,65.97,145484.95
RDR031,269,16.76,156,57.99,134699.01
RDR417,308,16.13,174,56.49,152237.23
RDR496,302,16.15,188,62.25,146655.34
RDR380,295,15.69,177,60.0,152234.91
RDR287,251,16.81,164,65.34,127947.29
RDR243,256,17.73,178,69.53,135936.22
RDR199,287,15.91,167,58.19,151923.6
RDR213,286,16.79,180,62.94,145177.96
RDR497,288,15.88,168,58.33,149577.18
RDR291,297,16.19,188,63.3,143966.54
RDR150,286,17.2,176,61.54,163054.27
RDR151,264,15.77,146,55.3,149921.8
RDR436,275,16.09,163,59.27,149774.98
RDR283,300,16.83,197,65.67,153963.14
RDR439,274,16.32,172,62.77,139567.89
RDR306,294,17.3,181,61.56,166913.33
RDR469,239,16.45,142,59.41,139918.62
RDR250,309,16.17,187,60.52,173454.98
RDR316,289,16.69,190,65.74,150643.51
RDR055,251,16.66,161,64.14,131792.06
RDR164,294,16.2,189,64.29,148998.46
RDR333,286,16.96,176,61.54,147150.51
RDR168,311,15.66,182,58.52,173586.04
RDR326,277,16.73,163,58.84,147687.56
RDR420,258,16.34,157,60.85,137555.29
RDR468,312,16.72,200,64.1,171444.1
RDR290,245,16.47,153,62.45,133760.27
RDR390,301,16.62,183,60.8,174413.01
RDR003,268,16.35,163,60.82,141759.35
RDR057,291,16.56,170,58.42,150863.35
RDR480,292,16.86,185,63.36,169674.61
RDR330,293,16.19,176,60.07,159095.48
RDR251,284,17.4,189,66.55,166634.6
RDR422,269,15.9,158,58.74,139405.87
RDR220,274,16.6,173,63.14,143576.09
RDR450,269,17.29,173,64.31,128582.34
RDR491,274,15.67,154,56.2,158885.49
RDR143,279,16.85,177,63.44,139246.05
RDR470,247,17.03,167,67.61,118739.91
RDR305,275,16.25,155,56.36,142175.25
RDR367,273,15.9,164,60.07,136580.01
RDR402,305,17.16,192,62.95,163301.43
RDR416,275,16.93,175,63.64,134527.4
RDR138,263,16.75,168,63.88,129784.19
RDR222,290,16.53,185,63.79,160371.62
RDR201,270,16.73,167,61.85,143801.83
RDR391,261,16.47,160,61.3,124103.43
RDR018,280,16.16,164,58.57,148941.42
RDR375,259,17.17,172,66.41,118945.06
RDR320,248,18.29,165,66.53,121446.51
RDR034,309,16.81,198,64.08,162458.21
RDR451,287,16.72,175,60.98,139134.82
RDR210,286,16.05,182,63.64,143163.92
RDR285,278,14.85,161,57.91,153325.22
RDR397,291,17.47,194,66.67,148052.24
RDR169,279,16.99,177,63.44,149205.96
RDR184,280,16.95,175,62.5,136779.06
RDR241,256,16.78,163,63.67,139997.37
RDR429,284,17.38,184,64.79,142302.45
RDR105,269,16.73,167,62.08,139691.68
RDR235,273,16.99,179,65.57,133874.95
RDR066,294,16.2,189,64.29,134670.77
RDR315,287,16.47,173,60.28,162213.25
RDR147,291,16.36,174,59.79,153119.88
RDR028,273,15.47,153,56.04,150159.65
RDR135,273,16.96,169,61.9,160894.26
RDR162,287,16.16,170,59.23,144741.74
RDR025,251,16.61,160,63.75,134922.16
RDR488,274,17.83,185,67.52,152763.01
RDR339,318,16.18,190,59.75,170240.82
RDR308,302,16.04,186,61.59,139131.95
RDR269,276,17.54,171,61.96,139651.0
RDR262,287,16.09,176,61.32,153934.41
RDR182,253,18.13,169,66.8,140271.59
RDR072,267,17.46,170,63.67,127642.85
RDR277,281,16.46,169,60.14,151756.76
RDR080,291,16.74,168,57.73,154215.81
RDR394,268,16.28,159,59.33,127449.28
RDR118,274,17.23,193,70.44,139392.61
RDR060,266,16.69,167,62.78,123236.11
RDR253,264,16.75,173,65.53,128787.27
RDR085,294,15.71,179,60.88,158057.44
RDR484,257,17.21,176,68.48,137522.27
RDR088,293,17.2,188,64.16,131290.9
RDR179,287,16.21,173,60.28,159005.86
RDR043,275,16.41,168,61.09,135488.29
RDR493,271,16.31,169,62.36,139033.37
RDR297,286,16.11,178,62.24,147153.22
RDR206,263,17.26,173,65.78,128010.57
RDR219,316,16.69,195,61.71,156375.05
RDR353,287,15.75,166,57.84,144822.68
RDR471,302,15.07,181,59.93,167751.02
RDR432,283,16.66,178,62.9,146664.64
RDR091,271,16.52,165,60.89,129965.0
RDR458,265,16.35,163,61.51,144104.0
RDR139,280,16.22,164,58.57,138130.65
RDR129,294,17.04,191,64.97,151133.59
RDR275,296,16.0,183,61.82,148530.2
RDR016,276,16.81,175,63.41,150712.62
RDR063,272,15.99,172,63.24,142946.39
RDR077,290,16.89,185,63.79,135547.95
RDR023,277,16.91,168,60.65,160501.66
RDR242,312,17.48,202,64.74,166447.4
RDR114,273,17.06,162,59.34,134413.96
RDR264,267,16.13,152,56.93,140807.14
RDR001,266,16.96,165,62.03,141816.71
RDR020,292,16.31,177,60.62,159320.87
RDR348,288,16.14,182,63.19,162256.39
RDR098,315,17.01,189,60.0,171591.94
RDR273,290,16.11,176,60.69,164600.48
RDR280,275,15.64,164,59.64,141747.26
RDR218,295,16.31,180,61.02,141195.19
RDR381,275,16.75,169,61.45,139860.29
RDR431,268,15.66,167,62.31,127776.73
RDR194,282,16.15,175,62.06,142922.58
RDR347,281,17.83,182,64.77,161194.22
RDR010,266,17.16,169,63.53,140087.52
RDR360,278,16.94,167,60.07,165676.16
RDR452,282,16.5,183,64.89,135901.07
RDR387,271,17.26,184,67.9,142364.35
RDR049,295,16.67,193,65.42,161369.64
RDR265,274,15.99,175,63.87,139748.42
RDR137,279,16.45,177,63.44,140969.69
RDR252,280,16.38,174,62.14,142865.55
RDR108,296,16.16,170,57.43,164268.89
RDR125,302,15.83,187,61.92,172152.68
RDR303,271,16.23,177,65.31,148540.26
RDR329,278,16.96,180,64.75,147574.83
RDR083,287,17.32,181,63.07,139963.1
RDR198,293,16.77,179,61.09,153462.67
RDR372,277,16.37,179,64.62,163476.87
RDR494,278,16.27,176,63.31,146649.54
RDR419,284,15.59,175,61.62,158146.22
RDR116,291,16.54,188,64.6,158457.58
RDR350,278,16.97,185,66.55,152550.2
RDR013,261,15.85,155,59.39,139246.46
RDR466,284,16.73,175,61.62,156267.44
RDR124,276,15.91,161,58.33,120953.3
RDR101,296,16.85,191,64.53,158355.51
RDR299,266,16.89,164,61.65,130767.46
RDR358,329,15.78,189,57.45,181996.12
RDR115,291,17.04,186,63.92,142210.73
RDR240,293,17.33,184,62.8,146348.81
RDR039,282,15.66,169,59.93,168478.23
RDR152,299,15.71,184,61.54,163341.98
RDR426,266,16.83,165,62.03,123706.7
RDR314,261,16.09,163,62.45,146890.29
RDR087,262,15.54,153,58.4,141906.84
RDR007,292,17.38,191,65.41,171046.96
RDR207,254,16.31,152,59.84,136977.93
RDR500,273,17.5,188,68.86,131321.94
RDR477,263,16.44,168,63.88,149709.38
RDR363,297,16.67,174,58.59,147582.58
RDR096,264,17.02,163,61.74,135377.58
RDR022,290,16.55,181,62.41,159250.37
RDR094,257,16.15,145,56.42,136264.25
RDR274,257,17.4,175,68.09,142644.58
RDR186,264,15.52,151,57.2,128238.16
RDR325,272,17.31,183,67.28,135466.91
RDR379,247,16.0,145,58.7,140519.66
RDR211,262,16.46,161,61.45,135291.15
RDR378,291,15.62,175,60.14,146381.54
RDR140,302,17.2,194,64.24,153457.81
RDR004,248,15.5,145,58.47,142919.61
RDR300,274,16.84,173,63.14,148053.24
RDR490,275,17.28,177,64.36,139155.37
RDR415,280,18.09,193,68.93,134444.69
RDR231,265,16.06,163,61.51,136632.76
RDR298,262,16.56,160,61.07,146438.73
RDR174,300,16.82,190,63.33,179696.25
RDR166,270,16.3,157,58.15,141371.02
RDR048,293,16.13,180,61.43,155099.1
RDR038,261,16.44,164,62.84,147864.45
RDR295,276,17.98,197,71.38,137884.91
RDR337,239,15.15,147,61.51,121750.48
RDR392,289,17.08,201,69.55,146884.01
RDR086,289,15.92,167,57.79,148965.21
RDR302,276,16.96,167,60.51,123706.34
RDR145,279,17.0,177,63.44,139414.14
RDR401,256,18.03,171,66.8,133950.41
RDR472,294,16.36,182,61.9,164208.95
RDR286,314,16.75,190,60.51,157286.42
RDR104,293,16.52,164,55.97,159510.1
RDR257,304,17.29,198,65.13,158083.88
RDR312,300,17.01,189,63.0,155086.69
RDR406,309,16.16,189,61.17,155155.49
RDR015,321,16.24,195,60.75,163722.46
RDR093,260,16.75,177,68.08,128284.73
RDR067,267,15.96,165,61.8,148802.38
RDR366,286,15.5,172,60.14,151857.99
RDR224,303,15.48,181,59.74,162957.94
RDR278,273,16.82,160,58.61,150986.48
RDR304,255,17.1,163,63.92,118041.27
RDR214,290,15.89,179,61.72,162043.98
RDR051,263,16.43,164,62.36,129070.15
RDR044,273,16.13,172,63.0,137044.6
RDR092,270,16.27,171,63.33,142387.85
RDR343,283,16.52,172,60.78,141070.49
RDR364,286,17.03,180,62.94,143154.05
RDR335,285,16.49,186,65.26,146743.64
RDR254,268,17.64,173,64.55,141343.04
RDR256,261,16.64,157,60.15,131579.16
RDR157,303,15.61,170,56.11,152689.21
RDR340,279,15.56,167,59.86,139220.11
RDR361,266,17.19,165,62.03,145088.35
RDR499,258,16.69,164,63.57,138552.57
RDR266,272,15.52,163,59.93,149023.92
RDR183,266,17.03,165,62.03,155385.26
RDR270,290,16.25,173,59.66,161764.19
RDR357,288,16.96,179,62.15,142165.37
RDR414,292,17.11,182,62.33,142256.02
RDR457,278,16.29,177,63.67,136597.1
RDR389,262,15.47,160,61.07,124451.43
RDR109,321,16.59,191,59.5,155019.37
RDR386,296,16.73,182,61.49,147765.47
RDR427,269,17.23,186,69.14,136977.03
RDR173,263,16.57,162,61.6,129034.78
RDR498,304,16.31,193,63.49,164807.38
RDR249,282,15.45,164,58.16,135188.93
RDR313,261,16.41,166,63.6,137613.39
RDR489,310,17.14,189,60.97,146520.06
RDR099,252,15.56,142,56.35,123523.86
RDR294,331,16.51,207,62.54,174482.29
RDR005,302,15.9,174,57.62,160614.04
RDR322,292,16.31,185,63.36,148406.18
RDR131,300,16.24,182,60.67,162592.0
RDR453,264,15.55,163,61.74,126428.37
RDR041,271,16.24,164,60.52,144271.09
RDR084,289,16.7,190,65.74,133587.92
RDR100,277,16.52,171,61.73,146906.82
RDR371,289,16.93,182,62.98,142127.86
RDR209,260,15.31,148,56.92,143724.58
RDR230,275,18.04,185,67.27,123615.22
RDR227,252,17.08,152,60.32,129017.93
RDR119,262,16.71,168,64.12,129696.84
RDR068,254,15.91,148,58.27,125643.53
RDR481,256,18.45,172,67.19,146335.86
RDR050,280,16.65,172,61.43,147787.29
RDR307,287,16.33,178,62.02,154210.49
RDR384,252,16.12,148,58.73,128424.65
RDR311,297,17.01,184,61.95,154728.82
